nyu40id,nyu40class,mappedId,mappedIdConsecutive,weight
1,wall,(ignore),19,0.0
2,floor,(ignore),19,0.0
3,cabinet,3,1,3.9644974086960434
4,bed,4,2,5.459494152836571
5,chair,5,3,2.241522691584157
6,sofa,6,4,4.820655512680854
7,table,7,5,3.565918577548873
8,door,8,6,3.538498341919445
9,window,9,7,4.636521236560596
10,bookshelf,10,8,5.445050937449535
11,picture,11,9,5.079250281008131
12,counter,12,10,6.2030429647735845
13,blinds,(ignore),19,0.0
14,desk,14,11,4.622662494840168
15,shelves,(ignore),19,0.0
16,curtain,16,12,5.956294301248057
17,dresser,(ignore),19,0.0
18,pillow,(ignore),19,0.0
19,mirror,(ignore),19,0.0
20,floor_mat,(ignore),19,0.0
21,clothes,(ignore),19,0.0
22,ceiling,(ignore),19,0.0
23,books,(ignore),19,0.0
24,refridgerator,24,13,5.459141107819665
25,television,(ignore),19,0.0
26,paper,(ignore),19,0.0
27,towel,(ignore),19,0.0
28,shower_curtain,28,14,6.724871661883906
29,box,(ignore),19,0.0
30,whiteboard,(ignore),19,0.0
31,person,(ignore),19,0.0
32,night_stand,(ignore),19,0.0
33,toilet,33,15,5.832442848923174
34,sink,34,16,5.064773947290611
35,lamp,(ignore),19,0.0
36,bathtub,36,17,6.738988357113375
37,bag,(ignore),19,0.0
38,otherstructure,(ignore),19,0.0
39,otherfurniture,39,18,3.375217918833916
40,otherprop,(ignore),19,0.0
